CryoSleep,RoomService,FoodCourt,Spa,VRDeck,Transported,CabinNumber,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S
0,0.0,0.0,0.0,0.0,False,0.0,False,True,False,False,True,False,False,False,False,False,False,True,False
0,109.0,9.0,549.0,44.0,True,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True
0,43.0,3576.0,6715.0,49.0,False,0.0,False,True,False,True,False,False,False,False,False,False,False,False,True
0,0.0,1283.0,3329.0,193.0,False,0.0,False,True,False,True,False,False,False,False,False,False,False,False,True
0,303.0,70.0,565.0,2.0,True,1.0,True,False,False,False,False,False,False,False,True,False,False,False,True
0,0.0,483.0,291.0,0.0,True,0.0,True,False,False,False,False,False,False,False,True,False,False,True,False
0,42.0,1539.0,0.0,0.0,True,2.0,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0.0,0.0,0.0,0.0,True,0.0,True,False,False,False,False,False,False,False,False,True,False,False,True
0,0.0,785.0,216.0,0.0,True,3.0,True,False,False,False,False,False,False,False,True,False,False,False,True
1,0.0,0.0,0.0,0.0,True,1.0,False,True,False,False,True,False,False,False,False,False,False,True,False
1,0.0,0.0,0.0,0.0,True,1.0,False,True,False,False,True,False,False,False,False,False,False,True,False
0,39.0,7295.0,110.0,124.0,True,1.0,False,True,False,False,True,False,False,False,False,False,False,True,False
0,73.0,0.0,0.0,113.0,True,1.0,False,False,True,False,False,False,False,False,True,False,False,True,False
0,719.0,1.0,0.0,24.0,False,1.0,True,False,False,False,False,False,False,False,False,True,False,False,True
0,8.0,974.0,2.0,7.0,True,2.0,True,False,False,False,False,False,False,False,True,False,False,True,False
0,32.0,0.0,0.0,0.0,False,427.0,True,False,False,False,False,False,False,False,True,False,False,False,True
0,1286.0,122.0,0.0,0.0,False,3.0,False,False,True,False,False,False,False,False,True,False,False,True,False
0,0.0,1.0,0.0,637.0,False,4.0,True,False,False,False,False,False,False,False,True,False,False,True,False
1,0.0,0.0,0.0,0.0,True,5.0,False,False,True,False,False,False,False,False,True,False,False,True,False
0,0.0,0.0,0.0,0.0,True,0.0,True,False,False,False,False,False,False,False,False,True,False,True,False
0,412.0,0.0,0.0,679.0,False,6.0,True,False,False,False,False,False,False,False,True,False,False,True,False
